geo,COUNTRY,REGION_ENGLISH,GDP,pro_Low,pro_Medium,pro_High,fert_Low,fert_Medium,fert_High,EB_fert_Low,EB_fert_Low_CIL,EB_fert_Low_CIU,EB_fert_Medium,EB_fert_Medium_CIL,EB_fert_Medium_CIU,EB_fert_High,EB_fert_High_CIL,EB_fert_High_CIU,Aver_Low,Aver_Medium,Aver_High
FR3,France,North France,23000,24.20,44.60,31.20,2.47,2.12,1.80,2.47,2.45,2.49,2.12,2.11,2.14,1.80,1.78,1.81,2.01,1.72,1.65
FR4,France,East France,23400,19.40,51.10,29.50,2.09,1.89,1.72,2.09,2.07,2.11,1.89,1.87,1.90,1.72,1.70,1.73,2.01,1.72,1.65
FR5,France,West France,24100,15.50,50.40,34.00,2.24,2.06,1.98,2.24,2.22,2.26,2.06,2.05,2.07,1.98,1.96,1.99,2.01,1.72,1.65
FR1,France,Parisian region,46400,15.00,36.00,49.00,1.90,1.68,1.56,1.90,1.88,1.92,1.68,1.67,1.69,1.56,1.56,1.57,2.01,1.72,1.65
FR2,France,Paris Basin,23600,22.10,49.60,28.30,2.15,1.91,1.82,2.15,2.14,2.17,1.91,1.90,1.92,1.82,1.81,1.84,2.01,1.72,1.65
FR7,France,Central East France,27500,16.40,48.70,35.00,2.11,1.87,1.93,2.11,2.09,2.13,1.87,1.86,1.88,1.93,1.92,1.94,2.01,1.72,1.65
FR8,France,Mediterranean France,24900,17.80,47.50,34.70,1.98,1.77,1.65,1.98,1.96,2.00,1.77,1.76,1.78,1.65,1.64,1.66,2.01,1.72,1.65
FR6,France,South West France,24600,14.70,48.10,37.30,1.90,1.73,1.74,1.90,1.88,1.92,1.73,1.72,1.74,1.74,1.72,1.75,2.01,1.72,1.65
BE10,Belgium,Brussels,56800,26.10,24.50,49.40,1.59,1.33,1.31,1.57,1.50,1.64,1.37,1.31,1.42,1.30,1.26,1.35,2.01,1.72,1.65
BE21,Belgium,Antwerp,36600,23.10,41.00,36.00,1.67,1.62,1.74,1.68,1.64,1.72,1.61,1.59,1.64,1.74,1.71,1.78,2.01,1.72,1.65
BE22,Belgium,Limburg,25700,26.50,40.20,33.40,1.65,1.61,1.72,1.66,1.61,1.71,1.60,1.57,1.64,1.72,1.68,1.77,2.01,1.72,1.65
BE23,Belgium,East Flanders,28300,26.60,37.80,35.60,1.65,1.59,1.72,1.65,1.62,1.69,1.59,1.56,1.62,1.72,1.69,1.76,2.01,1.72,1.65
BE24,Belgium,Vlaams Brabant,32800,18.00,36.10,46.00,1.56,1.57,1.74,1.57,1.52,1.62,1.56,1.53,1.60,1.74,1.71,1.78,2.01,1.72,1.65
BE25,Belgium,West Flanders,29700,29.00,39.20,31.90,1.79,1.73,1.88,1.79,1.75,1.83,1.72,1.69,1.76,1.88,1.83,1.92,2.01,1.72,1.65
BE31,Belgium,Brabant Walonne,33700,21.60,28.40,50.00,1.79,1.72,1.93,1.79,1.70,1.87,1.73,1.67,1.78,1.92,1.86,1.98,2.01,1.72,1.65
BE32,Belgium,Hainaut,20500,37.10,34.00,28.90,1.98,1.71,1.68,1.98,1.94,2.02,1.71,1.67,1.74,1.69,1.65,1.73,2.01,1.72,1.65
AT13,Austria,Vienna,42900,6.70,61.70,31.60,1.64,1.22,1.13,1.77,1.43,2.11,1.24,1.10,1.38,1.09,0.91,1.29,2.01,1.72,1.65
BE33,Belgium,Liège,23100,33.70,33.50,32.70,1.91,1.72,1.73,1.91,1.86,1.96,1.71,1.68,1.75,1.74,1.69,1.78,2.01,1.72,1.65
BE34,Belgium,Luxembourg,20700,29.80,35.30,34.90,2.15,2.06,2.01,2.17,2.07,2.27,1.99,1.92,2.08,2.02,1.93,2.11,2.01,1.72,1.65
BE35,Belgium,Namur,22100,30.70,34.50,34.70,2.00,1.81,1.90,2.00,1.93,2.07,1.81,1.76,1.86,1.89,1.83,1.95,2.01,1.72,1.65
EL30,Greece,Attiki,26800,17.50,48.50,34.00,1.81,1.50,1.38,1.82,1.75,1.89,1.50,1.46,1.54,1.38,1.33,1.43,2.01,1.72,1.65
EL42,Greece,Notio Aigaio,20900,43.30,39.70,17.00,2.26,1.89,1.58,2.25,2.09,2.41,1.85,1.72,1.99,1.64,1.49,1.78,2.01,1.72,1.65
EL41,Greece,Voreio Aigaio,15500,36.00,37.60,26.40,1.98,1.89,1.70,2.06,1.86,2.24,1.82,1.67,1.99,1.66,1.51,1.82,2.01,1.72,1.65
EL64,Greece,Sterea Ellada,17500,36.50,41.70,21.80,2.13,1.80,1.60,2.14,2.01,2.27,1.78,1.68,1.89,1.61,1.49,1.72,2.01,1.72,1.65
EL65,Greece,Peloponnisos,15800,35.50,42.40,22.10,2.10,1.68,1.66,2.10,1.97,2.24,1.70,1.59,1.80,1.60,1.50,1.73,2.01,1.72,1.65
EL43,Greece,Kriti,16400,33.40,41.40,25.20,2.39,1.91,1.72,2.36,2.23,2.51,1.91,1.80,2.02,1.72,1.61,1.83,2.01,1.72,1.65
EL51,Greece,"Anatoliki Makedonia, Thraki",14100,44.00,33.70,22.30,2.20,1.80,1.71,2.20,2.08,2.32,1.81,1.69,1.92,1.68,1.57,1.80,2.01,1.72,1.65
EL52,Greece,Kentriki Makedonia,15400,29.00,40.70,30.30,2.01,1.79,1.64,2.02,1.93,2.10,1.78,1.72,1.85,1.63,1.56,1.71,2.01,1.72,1.65
EL53,Greece,Dytiki Makedonia,17900,38.80,36.50,24.70,2.19,2.11,1.74,2.23,2.05,2.40,2.00,1.86,2.17,1.76,1.61,1.91,2.01,1.72,1.65
